address,lat,long
"438 County Rd 11002, 64720",38.3802744,-94.3529591
"106 E Collins St, 64001",39.0950551,-93.5450398
"101 2nd St, 63531",40.242195,-92.210453
"31019 E 260th Ave, 64424",40.2634894,-93.931917
"215 W Park St, 65321",39.1044835,-93.4855521
"605 E Water St, 65233",38.9793956,-92.7418209
"100 Railroad street, 64624",39.5875458,-93.791676
"105 S Highway 5, 64630",40.034761,-93.161919
"17149 Hwy 24, 65236",39.2101924,-96.3157878
"110 W Main, 64428",39.9785986,-86.1289815
"1301 Main St, 64632",40.4387493,-93.7654678
"30537 CR 308, 64687",34.9766457,-83.3254958
"26274 Hwy 24, 64633",39.3664109,-93.4527307
"100 Ward Ave, 63830",36.1938807,-89.652528
"2073 Co Rd 337, 63830",36.2293554,-89.7019089
"200 E Lamb St, 63436",39.5080791,-91.5277942
"103 N Main St, 64019",38.7441852,-93.844896
"22701 N March Rd, 65240",39.2208654,-92.1635449
"108 Market St, 65240",39.2601347,-92.1057549
"758 State Highway N, 63834",37.0203726,-89.3643004
"6720 N Hwy K, 63834, 63834",36.9208854,-89.350631
"209 E Barnum Ave, 64733",38.583926,-93.852475
"215 Manning Ave, 64635",39.9227118,-93.4760296
"18115 State Hwy B, 64670",40.1047739,-94.0060978
"601 S Main St, 64020, 64020",38.9829574,-93.5679441
"102 Main St, 64437",40.1918626,-95.3743945
"15053 Highway 111, 64437",40.1826342,-95.3712397
"12845 County Rd 717, 63841",36.8008268,-89.9329713
"7466 US Highway 60, 63936",37.8847037,-86.1121063
"20314 South Highway 77, 63845",36.6379388,-89.232759
"3880 Audrain Road 541, 63345",39.2812527,-91.5490671
"111 Armstrong St, 65248",39.1404966,-92.6800122
"26949 Holt 290 Rd, 64451",39.9854403,-95.1991577
"151 Broadway Ave, 64642",40.1412686,-93.871286
"102 2nd St, 65254",39.2214844,-92.8464125
"201 F Street, 64748",37.398749,-94.0892068
"202 E Main, 64035",39.2694742,-93.8322431
"1209 Industrial Blvd, 64701",38.6614207,-94.3570678
"520 Washington St, 63349",38.9690052,-91.1348731
"105 W 22nd St, 64037",39.0726437,-93.7195812
"201 S Vine St, 64040",38.7170208,-93.9868461
"308 W Morrison Ave, 64755",37.3337971,-94.3050339
"4801 NE Birmingham Rd, 64117",39.1510582,-94.5235291
"316 W  Potter Ave, 63501",40.2122698,-92.5869611
"1275 SE Y Hwy, 65336",38.7112044,-93.507723
"210 N 7th St, 63447",40.1179603,-91.9174619
"401 S Main St, 63448",40.0390822,-91.4985394
"131 E Moore St, 63549",40.0240169,-92.4899977
"605 Front St, 64651",39.7853502,-93.1704077
"601 1st St, 63352",39.2462302,-91.6359117
"506 E 1st St, 63352",39.2426872,-91.6440517
"809 North Pine, 63352",39.2492548,-91.6401206
"1901 Hwy Kk, 64759, 64759",37.4855942,-94.2696737
"410 E 2nd S, 64652",43.8218402,-111.7759408
"24th and Monroe Sts, 64067",39.181069,-93.866677
"107 W 6th St, 65682",37.3877397,-93.9577558
"1035 MO-79, 63353",38.9895198,-90.7380136
"14680 US Hwy 136, 64655",40.4675668,-93.2781305
"1805 A N Missouri St, 63552",39.7551817,-92.4694743
"1 E Pacific St, 65339",39.1975179,-93.3611998
"211 N Lyon, 65340",39.1228472,-93.2021195
"734 New Madrid County Rd, 63866",36.5250577,-89.6181018
"221 N Depot, 64468",40.3468821,-94.8560794
"105 E John, 64659",39.7853544,-93.3021066
"2816 E Liberty, 65265",39.161037,-91.843575
"308 N Bluff, 65344",39.2964931,-93.238251
"914 E 3rd St, 63556",40.2016702,-93.1146609
"109 Main St, 65708",36.9112885,-93.8750875
"107 S Vine St, 63456",39.6528033,-91.735898
"11523 Highway J, 63456",39.6594664,-91.6617744
"226 N Walker St, 63361",38.9770337,-91.5078152
"424 Hart St, 63954",36.5613766,-90.508414
"300 Levee Rd, 63869",36.5816853,-89.5499012
"301 E Broadway St, 64667",40.3763088,-93.3331114
"101 S Cherry St, 64668",39.30249,-93.68024
"65031 State Hwy 15, 63460",40.010436,-92.1645818
"111 NW RailRoad St, 64076",39.0013624,-93.9548073
"208 E N Front St, 64077",39.2132036,-94.1201543
"12302 Highway 135, 65276",38.8680554,-92.9175121
"3090 Highway B, 63901",37.6662039,-89.8489921
"9238 Highway 87, 65068",38.8084264,-92.5854071
"613 County Hwy 434, 63873",36.4256585,-89.6990265
"1 East Grand Ave, 63101",38.6788479,-90.1934637
"1840 N Wharf St, 63102",38.6556349,-90.1865898
"304 W Front St, 65281",39.4249967,-92.8049769
"179 Rushing Rd, 63780",37.2452806,-89.4981075
"19571 Whitfield Rd, 65301",38.7500737,-93.322436
"308 E Chestnut St, 63468",39.6923203,-92.0363828
"410 W Malone Ave, 63801",36.8757406,-89.5956266
"305 Industrial Blvd,, 65349",39.2166704,-93.0610492
"29261 North Highway 240, 65349",39.2130388,-93.0681108
"106 E Washington St, 65350",38.6836215,-93.0922581
"8270 W State Hwy 266, 65802",37.213292,-93.458551
"2811 S 11, 64503",39.7381414,-94.8457849
"1005 E Lake Blvd, 64501",39.73388,-94.8477455
"317 Centre St, 64681",39.6564126,-93.2467931
"125 Lexington Ave, 65351",38.9657002,-93.4157127
"302 Park St, 64491",40.4447045,-95.3783492
"915 Shanklin St, 64683",40.1609227,-93.6105783
"3031 Pleasant Pln, 64683",40.0934432,-93.6147175
"28597 US Highway 136, 63565",40.4714089,-93.0218725
"411 W State St, 63382",39.3077591,-91.4901982
"12747 Market Road, 65084",38.4937683,-92.7214512
"215 Thomas Ln, 64096",39.2128158,-93.5206001
"1337 W Elevator St, 48472",43.4570418,-82.9717514
"15 Quail Run, 64720",38.4150987,-94.3503979
"624 N Penn Ave, 64062",39.4414928,-94.2038397
"408 S Birch St, 64402",40.2451821,-94.3408995
"102 S Walnut, 64429",39.739743,-94.2366275
"24395 State Hwy 6, 64640",39.929227,-93.940377
"313 N. Davis St., 64644",39.7449549,-93.9982693
"204 1st St, 64670",40.0481864,-94.1373395
"33 PCR 540, 63775",37.6046322,-89.8408112
"115 Bluff St, 65069",38.7195747,-91.5133534
"520 S 23rd St, 63565",40.4721407,-93.0116152
"375 Main St, 64832",37.2746924,-94.602167
"2133 E State Hwy, 63780",37.2202367,-89.5071986
"200 N Railroad St, 64461",40.5515192,-94.8184999
"32503 MO-2, 64701",38.6432465,-94.220775
"1 N Brunswick St, 64601",39.7889679,-93.5458979
"26194 MO-20, 64021",39.105706,-93.6187451
"50726 State Hwy 15, 63531",40.2210147,-92.210618
"805 Mill St, 64402",40.2434899,-94.3390396
"1201 N 25th St, 64424",40.2792416,-94.0273924
"402 Locust, 64465",39.5497612,-94.331349
"200 W Chestnut, 63468",39.693653,-92.04222
"13975 US Hwy 63, 63548",40.5342643,-92.5397553
"1058 Hwy 36, 63437",39.7333551,-92.2433487
"307 Elm Street, 63435",40.1757481,-91.5596117
"105 S. High St, 64489",40.2067624,-94.5449372
"101 Main St, 64466",40.2005597,-95.0738505
"113 E Hawk, 64479",40.3523749,-94.6719045
"112 W Des Moines St, 63472",40.3948524,-91.5947695
"1901 S 6th St, 64501",39.746839,-94.851407
"1246 W Highway K, 64762",38.794891,-90.6983023
"19765 West 320th St, 64424",40.2511753,-94.0574173
"15311 N. Saline 65 Hwy., 65339",39.1939849,-93.3740552
"201 S Walnut, 64741",37.8376284,-94.5046188
"123 W. Main, 64742",38.4797868,-94.6113458
"172 S. Brown St, 64750",37.9564468,-94.1542638
"154 S. Main, 64765",37.9973283,-94.4432482
"320 Short St, 63361",38.9633026,-91.495819
"1101 W Main St, 64428",40.445454,-95.077314
"30537 CR 308, 64633",39.313312,-93.376848
"2140 County Highway 553, 63830",36.073652,-89.686089
"6720 N Hwy K, 63834",36.920954,-89.350556
"601 S Main St, 64020",38.982932,-93.567901
"17700 South T Hwy, 64741",37.834522,-94.578155
"340 Southwest Blvd, 66103",39.068277,-94.613446
"2306 Rochester St, 64120",39.121122,-94.555405
"1901 Hwy Kk, 64759",37.485682,-94.271792
"400 E Holt, 65265",39.169159,-91.878853
"199 W Front St, 63868",36.846229,-89.692126
"900 SW Lower Lake Rd, 64501",39.729129,-94.874798
